rivers,lat,lon, low, Mid, up
Lanyang,24.5,121.8,9.98 ,24.50 ,47.57 
Kallada,8.8,76.7,12.81 ,24.19 ,41.52 
Caloosahatchee,26.7,-81.8,2.37 ,24.00 ,71.89 
Maule,-35.3,-72.7,4.80 ,23.72 ,55.98 
Micay,2.8,-76.6,9.94 ,23.61 ,45.29 
Pascua,-49.3,-72.7,4.66 ,23.59 ,55.60 
Choluteca,13.3,-87.3,12.72 ,23.52 ,40.02 
Seraju,-7.5,109.1,11.32 ,23.40 ,42.17 
St. John,17.1,-61.8,13.49 ,23.39 ,37.31 
Abukuma,37.6,141,2.57 ,23.32 ,66.28 
James,37.2,-76.8,2.28 ,23.32 ,69.52 
Abra,17.6,120.6,2.57 ,23.30 ,66.63 
La Plata,-34.6,-58.3,2.27 ,23.27 ,69.44 
Catatumbo,9,-72.7,12.56 ,23.18 ,39.33 
Mono,6.4,1.7,13.14 ,23.14 ,37.52 
Suchiate,14.5,-92.2,8.41 ,23.13 ,46.63 
El Harrach,36.7,3.2,9.25 ,22.87 ,44.52 
Cenrana,-5.2,120,11.07 ,22.86 ,41.27 
Nam San,19.2,104,11.10 ,22.74 ,41.07 
Panay,11.5,122.4,10.99 ,22.63 ,41.14 
Shkumbini,41.1,19.6,7.66 ,22.62 ,46.39 
évros,40.9,26.5,3.37 ,22.53 ,56.93 
Aksu,41.1,79,7.27 ,22.45 ,46.62 
Pamba ,9.353,76.414,11.86 ,22.32 ,38.43 
Pra,5,-1.4,12.23 ,22.26 ,37.32 
Landek,-6.8,106.8,10.75 ,22.09 ,39.70 
Jamapa,19.1,-96.2,8.00 ,22.04 ,44.23 
Yeongsan,34.8,126.6,2.48 ,21.92 ,61.73 
Patuxent,38.4,-76.7,2.11 ,21.78 ,65.44 
Naya,3,-77.2,8.97 ,21.76 ,41.99 
Axiós,40.7,22.7,3.30 ,21.75 ,55.35 
Asahan,3.2,99.3,10.60 ,21.71 ,39.13 
Tana,0.6,36.9,11.87 ,21.54 ,36.07 
Kadalundi,11.2,75.8,11.20 ,21.24 ,36.53 
Chirripo del Atlanti,10.1,-83.7,6.74 ,21.22 ,44.44 
Tyne,55,-1.6,1.68 ,21.14 ,73.44 
Yaque del Sur,18.3,-71.3,9.73 ,20.99 ,38.63 
Penzhina,61.7,163,8.66 ,20.86 ,40.36 
Uda,51.8,120.7,8.55 ,20.85 ,40.31 
Leon,10.2,-85.3,8.56 ,20.65 ,39.82 
Muda,5.6,100.5,6.07 ,20.48 ,43.45 
Aconcagua,-32.8,-71.5,4.07 ,20.18 ,47.57 
Mahi,22.3,72.6,10.42 ,19.72 ,34.03 
Boubo,5.2,-6.3,11.10 ,19.43 ,31.36 
Papagayo,10.8,-85.8,7.04 ,19.41 ,39.10 
Cess,5.2,-9.7,11.13 ,19.22 ,30.64 
Bakir,38.5,26.6,6.24 ,19.06 ,39.86 
Kü?ük Menderes,38.2,27.2,6.16 ,18.87 ,39.40 
Chalakudi,10.3,76.3,9.97 ,18.85 ,32.37 
Itapicuru,-11.3,-37.8,7.36 ,18.69 ,36.56 
Russian,60,30.3,1.85 ,18.58 ,55.74 
